Section #,Attack Surface Layer,Key Threats,MITRE ID,Zero-Trust Pillar,Change Log
2.1.1,Firmware,BIOS/UEFI and EFI Attacks: Attackers target low-level firmware on Windows (BIOS/UEFI) and macOS (EFI) endpoints to install bootkit rootkits that persist across OS reinstallation and evade all OS-layer security controls.,T1542.001 – Pre-OS Boot: System Firmware,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,Supply Chain Compromise: Maliciously modified or backdoored firmware introduced during device manufacturing or logistics before deployment to the end user.,T1195.003 – Supply Chain Compromise: Compromise Hardware Supply Chain,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,"Outdated Firmware: Failure to apply firmware updates leaves known vulnerabilities exploitable, particularly relevant for Intel-based Macs and Windows endpoints from multiple OEMs with inconsistent patching cadences.",T1068 – Exploitation for Privilege Escalation; T1542.001 – Pre-OS Boot: System Firmware,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,Secure Boot / Apple Secure Boot Bypass: Disabling or circumventing Secure Boot (Windows) or Apple Secure Boot (macOS T2/Apple Silicon) permits unsigned or malicious bootloaders to execute prior to OS loading.,T1542.001 – Pre-OS Boot: System Firmware; T1542.003 – Pre-OS Boot: Bootkit,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,"TPM / Secure Enclave Tampering: On Windows, attackers attempt to extract TPM-sealed BitLocker keys via firmware TPM vulnerabilities (CVE-2023-1017/1018). On macOS, exploitation of T2 chip vulnerabilities may allow bypass of encrypted storage and activation lock protections.",T1542.001 – Pre-OS Boot: System Firmware; T1600 – Weaken Encryption,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,"Firmware Persistence via UEFI Implants: Sophisticated threat actors (e.g., nation-state) deploy UEFI implants (MosaicRegressor, CosmicStrand-style) that survive disk wipes and OS reinstallation.",T1542.001 – Pre-OS Boot: System Firmware; T1547 – Boot or Logon Autostart Execution,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,BMC / Remote Management Firmware Compromise: Baseboard Management Controller (BMC) or iDRAC firmware compromise on endpoints with remote management capabilities enables out-of-band persistent access.,T1542.001 – Pre-OS Boot: System Firmware; T1133 – External Remote Services,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,Device Theft Without Pre-Boot Authentication: Stolen laptops without full-disk encryption (BitLocker; FileVault) and a pre-boot PIN or password can be accessed by mounting the drive externally or booting to a live OS. Risk is elevated for employees who disable pre-boot PIN for convenience.,T1052 – Exfiltration Over Physical Medium; T1005 – Data from Local System,Devices; Data,"WS1-A: Pillar normalised ""Device; Data"" → ""Devices; Data"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,"BadUSB and Peripheral Injection: Malicious USB devices (USB Rubber Ducky, O.MG Cable, Bash Bunny) emulate trusted HID devices such as keyboards and network adapters to inject keystrokes or exfiltrate data. Effective against both Windows and macOS with no driver installation required and no user prompt generated.",T1200 – Hardware Additions; T1091 – Replication Through Removable Media; T1059 – Command and Scripting Interpreter; T1003 – OS Credential Dumping,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,"Thunderbolt and DMA Attacks: Thunderbolt ports on both Windows and macOS allow Direct Memory Access (DMA) at the hardware level, enabling tools such as PCILeech to read and write physical memory and extract credentials or encryption keys from a locked device without OS interaction. Mitigated by Kernel DMA Protection (Windows) and enabling Thunderbolt security levels; verify enforcement via MDM policy.",T1006 – Direct Volume Access; T1003 – OS Credential Dumping,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
